地区名,センター,燃えるごみ,燃えないごみ,空びん,資源物
阿坂地区全自治会 ,旧松阪市,火 金,月,20150210 20150310 20150409 20150514 20150609 20150710 20150814 20150911,20150213 20150313 20150410 20150508 20150612 20150710 20150814 20150904
朝日町１区 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
旭ヶ丘 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
朝見地区全自治会（和屋団地を含む）,旧松阪市,月 木,水,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
愛宕町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
荒木町 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
安楽町 ,旧松阪市,月 木,金,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
伊賀町 ,旧松阪市,月 木,金,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
射和地区全自治会 ,旧松阪市,火 金,木,20150217 20150324 20150421 20150519 20150616 20150714 20150811 20150908,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901
石津町 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
五十鈴町 ,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
